--------- beginning of main
--------- beginning of system
05-27 15:32:09.504  5537  5537 I CT_REPRO: E01_callback_baseline | 1779867129503 | 0 | SERVICE_CONNECTED | 0 | http://198.18.0.1:8000/basic | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | component=com.android.chrome/org.chromium.chrome.browser.customtabs.CustomTabsConnectionService
05-27 15:32:09.627  5537  5537 I CT_REPRO: E01_callback_baseline | 1779867129627 | 0 | extraCallback:onWarmupCompleted | 10000 | http://198.18.0.1:8000/basic | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | bundle={}
05-27 15:32:11.015  5537  5537 I CT_REPRO: E01_callback_baseline | 1779867131015 | 1 | LAUNCH_REQUESTED | 0 | http://198.18.0.1:8000/basic | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | 准备打开 Custom Tab
05-27 15:32:11.473  5537  5537 I CT_REPRO: E01_callback_baseline | 1779867131472 | 458 | TAB_SHOWN | 5 | http://198.18.0.1:8000/basic | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=723472}
05-27 15:32:11.547  5537  5537 I CT_REPRO: E01_callback_baseline | 1779867131547 | 533 | NAVIGATION_STARTED | 1 | http://198.18.0.1:8000/basic | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=723546}
05-27 15:32:11.635  5537  5537 I CT_REPRO: E01_callback_baseline | 1779867131635 | 621 | NAVIGATION_FINISHED | 2 | http://198.18.0.1:8000/basic | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=723634}
05-27 15:32:18.641  5537  5537 I CT_REPRO: E01_callback_baseline | 1779867138641 | 7627 | TAB_HIDDEN | 6 | http://198.18.0.1:8000/basic | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=730641}
05-27 15:32:20.893  5676  5676 I CT_REPRO: E01_callback_baseline | 1779867140893 | 0 | SERVICE_CONNECTED | 0 | http://198.18.0.1:8000/status/200 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | component=com.android.chrome/org.chromium.chrome.browser.customtabs.CustomTabsConnectionService
05-27 15:32:20.941  5676  5676 I CT_REPRO: E01_callback_baseline | 1779867140941 | 0 | extraCallback:onWarmupCompleted | 10000 | http://198.18.0.1:8000/status/200 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | bundle={}
05-27 15:32:22.360  5676  5676 I CT_REPRO: E01_callback_baseline | 1779867142360 | 2 | LAUNCH_REQUESTED | 0 | http://198.18.0.1:8000/status/200 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | 准备打开 Custom Tab
05-27 15:32:22.714  5676  5676 I CT_REPRO: E01_callback_baseline | 1779867142714 | 356 | TAB_SHOWN | 5 | http://198.18.0.1:8000/status/200 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=734709}
05-27 15:32:22.764  5676  5676 I CT_REPRO: E01_callback_baseline | 1779867142763 | 405 | NAVIGATION_STARTED | 1 | http://198.18.0.1:8000/status/200 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=734763}
05-27 15:32:22.832  5676  5676 I CT_REPRO: E01_callback_baseline | 1779867142831 | 473 | NAVIGATION_FINISHED | 2 | http://198.18.0.1:8000/status/200 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=734831}
05-27 15:32:29.567  5676  5676 I CT_REPRO: E01_callback_baseline | 1779867149567 | 7209 | TAB_HIDDEN | 6 | http://198.18.0.1:8000/status/200 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=741567}
