--------- beginning of main
--------- beginning of system
05-27 15:45:14.963  8140  8140 I CT_REPRO: E02_state_inference_oracle | 1779867914963 | 406 | NAVIGATION_STARTED | 1 | http://198.18.0.1:8000/redirect/html?trial=redirect_html_ok_t1 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1506961}
05-27 15:45:15.021  8140  8140 I CT_REPRO: E02_state_inference_oracle | 1779867915021 | 464 | NAVIGATION_FINISHED | 2 | http://198.18.0.1:8000/redirect/html?trial=redirect_html_ok_t1 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1507020}
05-27 15:45:15.098  8140  8140 I CT_REPRO: E02_state_inference_oracle | 1779867915098 | 541 | NAVIGATION_STARTED | 1 | http://198.18.0.1:8000/redirect/html?trial=redirect_html_ok_t1 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1507097}
05-27 15:45:15.159  8140  8140 I CT_REPRO: E02_state_inference_oracle | 1779867915159 | 602 | NAVIGATION_ABORTED | 4 | http://198.18.0.1:8000/redirect/html?trial=redirect_html_ok_t1 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1507143}
05-27 15:45:15.165  8140  8140 I CT_REPRO: E02_state_inference_oracle | 1779867915165 | 608 | NAVIGATION_STARTED | 1 | http://198.18.0.1:8000/redirect/html?trial=redirect_html_ok_t1 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1507147}
05-27 15:45:15.182  8140  8140 I CT_REPRO: E02_state_inference_oracle | 1779867915182 | 625 | NAVIGATION_FINISHED | 2 | http://198.18.0.1:8000/redirect/html?trial=redirect_html_ok_t1 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1507181}
05-27 15:45:22.572  8140  8140 I CT_REPRO: E02_state_inference_oracle | 1779867922572 | 8015 | TAB_HIDDEN | 6 | http://198.18.0.1:8000/redirect/html?trial=redirect_html_ok_t1 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1514572}
05-27 15:45:24.934  8291  8291 I CT_REPRO: E02_state_inference_oracle | 1779867924934 | 0 | SERVICE_CONNECTED | 0 | http://198.18.0.1:8000/redirect/html?trial=redirect_html_ok_t2 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | component=com.android.chrome/org.chromium.chrome.browser.customtabs.CustomTabsConnectionService
05-27 15:45:24.968  8291  8291 I CT_REPRO: E02_state_inference_oracle | 1779867924968 | 0 | extraCallback:onWarmupCompleted | 10000 | http://198.18.0.1:8000/redirect/html?trial=redirect_html_ok_t2 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | bundle={}
05-27 15:45:26.402  8291  8291 I CT_REPRO: E02_state_inference_oracle | 1779867926402 | 1 | LAUNCH_REQUESTED | 0 | http://198.18.0.1:8000/redirect/html?trial=redirect_html_ok_t2 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | 准备打开 Custom Tab
05-27 15:45:26.768  8291  8291 I CT_REPRO: E02_state_inference_oracle | 1779867926768 | 367 | TAB_SHOWN | 5 | http://198.18.0.1:8000/redirect/html?trial=redirect_html_ok_t2 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1518751}
05-27 15:45:26.803  8291  8291 I CT_REPRO: E02_state_inference_oracle | 1779867926803 | 402 | NAVIGATION_STARTED | 1 | http://198.18.0.1:8000/redirect/html?trial=redirect_html_ok_t2 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1518798}
05-27 15:45:26.851  8291  8291 I CT_REPRO: E02_state_inference_oracle | 1779867926851 | 450 | NAVIGATION_FINISHED | 2 | http://198.18.0.1:8000/redirect/html?trial=redirect_html_ok_t2 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1518850}
05-27 15:45:26.926  8291  8291 I CT_REPRO: E02_state_inference_oracle | 1779867926926 | 525 | NAVIGATION_STARTED | 1 | http://198.18.0.1:8000/redirect/html?trial=redirect_html_ok_t2 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1518925}
05-27 15:45:26.985  8291  8291 I CT_REPRO: E02_state_inference_oracle | 1779867926985 | 584 | NAVIGATION_ABORTED | 4 | http://198.18.0.1:8000/redirect/html?trial=redirect_html_ok_t2 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1518973}
05-27 15:45:26.990  8291  8291 I CT_REPRO: E02_state_inference_oracle | 1779867926990 | 589 | NAVIGATION_STARTED | 1 | http://198.18.0.1:8000/redirect/html?trial=redirect_html_ok_t2 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1518975}
