--------- beginning of main
--------- beginning of system
05-27 18:14:52.689 13716 13716 I CT_REPRO: E03_state_sharing_cookie | 1779876892689 | 0 | SERVICE_CONNECTED | 0 | http://198.18.0.1:8000/logout?step=final_ct_logout_reset | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | component=com.android.chrome/org.chromium.chrome.browser.customtabs.CustomTabsConnectionService
05-27 18:14:52.821 13716 13716 I CT_REPRO: E03_state_sharing_cookie | 1779876892821 | 0 | extraCallback:onWarmupCompleted | 10000 | http://198.18.0.1:8000/logout?step=final_ct_logout_reset | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | bundle={}
05-27 18:14:54.154 13716 13716 I CT_REPRO: E03_state_sharing_cookie | 1779876894154 | 2 | LAUNCH_REQUESTED | 0 | http://198.18.0.1:8000/logout?step=final_ct_logout_reset | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | 准备打开 Custom Tab
05-27 18:14:54.578 13716 13716 I CT_REPRO: E03_state_sharing_cookie | 1779876894578 | 426 | TAB_SHOWN | 5 | http://198.18.0.1:8000/logout?step=final_ct_logout_reset | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=10486577}
05-27 18:14:54.663 13716 13716 I CT_REPRO: E03_state_sharing_cookie | 1779876894663 | 511 | NAVIGATION_STARTED | 1 | http://198.18.0.1:8000/logout?step=final_ct_logout_reset | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=10486662}
05-27 18:14:54.742 13716 13716 I CT_REPRO: E03_state_sharing_cookie | 1779876894742 | 590 | NAVIGATION_FINISHED | 2 | http://198.18.0.1:8000/logout?step=final_ct_logout_reset | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=10486741}
05-27 18:15:00.871 13716 13716 I CT_REPRO: E03_state_sharing_cookie | 1779876900871 | 6719 | TAB_HIDDEN | 6 | http://198.18.0.1:8000/logout?step=final_ct_logout_reset | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=10492870}
05-27 18:15:03.178 13896 13896 I CT_REPRO: E03_state_sharing_cookie | 1779876903178 | 0 | SERVICE_CONNECTED | 0 | http://198.18.0.1:8000/profile?step=final_ct_profile_before | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | component=com.android.chrome/org.chromium.chrome.browser.customtabs.CustomTabsConnectionService
05-27 18:15:03.216 13896 13896 I CT_REPRO: E03_state_sharing_cookie | 1779876903216 | 0 | extraCallback:onWarmupCompleted | 10000 | http://198.18.0.1:8000/profile?step=final_ct_profile_before | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | bundle={}
05-27 18:15:04.647 13896 13896 I CT_REPRO: E03_state_sharing_cookie | 1779876904647 | 1 | LAUNCH_REQUESTED | 0 | http://198.18.0.1:8000/profile?step=final_ct_profile_before | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | 准备打开 Custom Tab
05-27 18:15:05.007 13896 13896 I CT_REPRO: E03_state_sharing_cookie | 1779876905007 | 361 | TAB_SHOWN | 5 | http://198.18.0.1:8000/profile?step=final_ct_profile_before | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=10496991}
05-27 18:15:05.044 13896 13896 I CT_REPRO: E03_state_sharing_cookie | 1779876905044 | 398 | NAVIGATION_STARTED | 1 | http://198.18.0.1:8000/profile?step=final_ct_profile_before | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=10497040}
05-27 18:15:05.121 13896 13896 I CT_REPRO: E03_state_sharing_cookie | 1779876905121 | 475 | NAVIGATION_FINISHED | 2 | http://198.18.0.1:8000/profile?step=final_ct_profile_before | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=10497120}
05-27 18:15:11.598 13896 13896 I CT_REPRO: E03_state_sharing_cookie | 1779876911598 | 6952 | TAB_HIDDEN | 6 | http://198.18.0.1:8000/profile?step=final_ct_profile_before | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=10503598}
