--------- beginning of main
--------- beginning of system
05-27 18:29:43.437 15689 15689 I CT_REPRO: E04_modern_mitigation_negative | 1779877783436 | 0 | SERVICE_CONNECTED | 0 | http://198.18.0.1:8000/samesite/check?step=ct_samesite_check_direct | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | component=com.android.chrome/org.chromium.chrome.browser.customtabs.CustomTabsConnectionService
05-27 18:29:43.591 15689 15689 I CT_REPRO: E04_modern_mitigation_negative | 1779877783591 | 0 | extraCallback:onWarmupCompleted | 10000 | http://198.18.0.1:8000/samesite/check?step=ct_samesite_check_direct | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | bundle={}
05-27 18:29:44.902 15689 15689 I CT_REPRO: E04_modern_mitigation_negative | 1779877784902 | 1 | LAUNCH_REQUESTED | 0 | http://198.18.0.1:8000/samesite/check?step=ct_samesite_check_direct | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | 准备打开 Custom Tab
05-27 18:29:45.271 15689 15689 I CT_REPRO: E04_modern_mitigation_negative | 1779877785271 | 370 | TAB_SHOWN | 5 | http://198.18.0.1:8000/samesite/check?step=ct_samesite_check_direct | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=11377257}
05-27 18:29:45.326 15689 15689 I CT_REPRO: E04_modern_mitigation_negative | 1779877785326 | 425 | NAVIGATION_STARTED | 1 | http://198.18.0.1:8000/samesite/check?step=ct_samesite_check_direct | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=11377326}
05-27 18:29:45.425 15689 15689 I CT_REPRO: E04_modern_mitigation_negative | 1779877785425 | 524 | NAVIGATION_FINISHED | 2 | http://198.18.0.1:8000/samesite/check?step=ct_samesite_check_direct | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=11377424}
05-27 18:29:52.008 15689 15689 I CT_REPRO: E04_modern_mitigation_negative | 1779877792008 | 7107 | TAB_HIDDEN | 6 | http://198.18.0.1:8000/samesite/check?step=ct_samesite_check_direct | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=11384007}
05-27 18:29:54.352 15853 15853 I CT_REPRO: E04_modern_mitigation_negative | 1779877794352 | 0 | SERVICE_CONNECTED | 0 | http://198.18.0.1:8000/headers/echo?probe=line1%0D%0AX-CT-Repro-Injected:%20yes | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | component=com.android.chrome/org.chromium.chrome.browser.customtabs.CustomTabsConnectionService
05-27 18:29:54.396 15853 15853 I CT_REPRO: E04_modern_mitigation_negative | 1779877794395 | 0 | extraCallback:onWarmupCompleted | 10000 | http://198.18.0.1:8000/headers/echo?probe=line1%0D%0AX-CT-Repro-Injected:%20yes | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | bundle={}
05-27 18:29:55.822 15853 15853 I CT_REPRO: E04_modern_mitigation_negative | 1779877795822 | 1 | LAUNCH_REQUESTED | 0 | http://198.18.0.1:8000/headers/echo?probe=line1%0D%0AX-CT-Repro-Injected:%20yes | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | 准备打开 Custom Tab
05-27 18:29:56.168 15853 15853 I CT_REPRO: E04_modern_mitigation_negative | 1779877796167 | 346 | TAB_SHOWN | 5 | http://198.18.0.1:8000/headers/echo?probe=line1%0D%0AX-CT-Repro-Injected:%20yes | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=11388167}
05-27 18:29:56.217 15853 15853 I CT_REPRO: E04_modern_mitigation_negative | 1779877796217 | 396 | NAVIGATION_STARTED | 1 | http://198.18.0.1:8000/headers/echo?probe=line1%0D%0AX-CT-Repro-Injected:%20yes | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=11388215}
05-27 18:29:56.291 15853 15853 I CT_REPRO: E04_modern_mitigation_negative | 1779877796291 | 470 | NAVIGATION_FINISHED | 2 | http://198.18.0.1:8000/headers/echo?probe=line1%0D%0AX-CT-Repro-Injected:%20yes | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=11388291}
05-27 18:30:02.807 15853 15853 I CT_REPRO: E04_modern_mitigation_negative | 1779877802807 | 6986 | TAB_HIDDEN | 6 | http://198.18.0.1:8000/headers/echo?probe=line1%0D%0AX-CT-Repro-Injected:%20yes | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=11394806}
05-27 18:30:04.763 15853 15853 I CT_REPRO: E04_modern_mitigation_negative | 1779877804763 | 8942 | SERVICE_DISCONNECTED | 0 | http://198.18.0.1:8000/headers/echo?probe=line1%0D%0AX-CT-Repro-Injected:%20yes | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | component=com.android.chrome/org.chromium.chrome.browser.customtabs.CustomTabsConnectionService
